"avg_n","actual_pairs_fps","expected_400_div_N","ratio_to_400N","seq_gaps","seq_dupes","in_errors"
"8","48,303","50","0,966","44","44","0"
"16","24,1","25","0,964","26","27","0"
"24","16,008","16,667","0,96","18","18","0"
"32","11,928","12,5","0,954","19","19","0"
"40","9,613","10","0,961","11","12","0"
"48","7,897","8,333","0,948","14","15","0"
"56","6,739","7,143","0,943","11","12","0"
"64","5,877","6,25","0,94","11","11","0"
