"avg_n","actual_pairs_fps","expected_400_div_N","ratio_to_400N","seq_gaps","seq_dupes","in_errors"
"8","49","50","0,98","38","39","0"
"16","24,23","25","0,969","25","25","0"
"24","16,203","16,667","0,972","19","20","0"
"32","12,091","12,5","0,967","13","13","0"
"40","9,69","10","0,969","11","11","0"
"48","8,092","8,333","0,971","11","12","0"
"56","6,823","7,143","0,955","10","10","0"
"64","5,952","6,25","0,952","11","12","0"
