"avg_n","actual_pairs_fps","expected_400_div_N","ratio_to_400N","seq_gaps","seq_dupes","in_errors"
"8","48,452","50","0,969","46","47","0"
"16","24,128","25","0,965","22","22","0"
"24","15,968","16,667","0,958","16","16","0"
"32","11,869","12,5","0,95","14","14","0"
"40","9,505","10","0,951","11","11","0"
"48","7,874","8,333","0,945","12","12","0"
"56","6,726","7,143","0,942","11","12","0"
"64","5,859","6,25","0,937","9","9","0"
