"avg_n","actual_pairs_fps","expected_400_div_N","ratio_to_400N","seq_gaps","seq_dupes","in_errors"
"8","49,051","50","0,981","38","38","0"
"16","24,5","25","0,98","23","23","0"
"24","16,2","16,667","0,972","17","17","0"
"32","12,19","12,5","0,975","10","11","0"
"40","9,646","10","0,965","16","16","0"
"48","8,1","8,333","0,972","12","12","0"
"56","6,934","7,143","0,971","10","11","0"
"64","5,946","6,25","0,951","8","8","0"
