"avg_n","actual_pairs_fps","expected_400_div_N","ratio_to_400N","seq_gaps","seq_dupes","in_errors"
"8","48,6","50","0,972","36","36","0"
"16","24,056","25","0,962","20","20","0"
"24","15,905","16,667","0,954","17","17","0"
"32","11,869","12,5","0,95","15","15","0"
"40","9,604","10","0,96","10","11","0"
"48","7,882","8,333","0,946","12","12","0"
"56","6,832","7,143","0,956","9","10","0"
"64","5,957","6,25","0,953","9","10","0"
