"avg_n","actual_pairs_fps","expected_400_div_N","ratio_to_400N","seq_gaps","seq_dupes","in_errors"
"8","3,896","50","0,078","0","1","0"
"16","3,792","25","0,152","0","1","0"
"24","3,77","16,667","0,226","0","1","0"
"32","3,693","12,5","0,295","18","18","0"
"40","2,97","10","0,297","14","15","0"
"48","2,532","8,333","0,304","12","13","0"
"56","2,09","7,143","0,293","10","10","1"
"64","1,894","6,25","0,303","9","10","0"
