"avg_n","actual_pairs_fps","expected_400_div_N","ratio_to_400N","expected_200_div_N","ratio_to_200N","seq_gaps","seq_dupes","in_errors","timeouts"
"8","15,315","50","0,306","25","0,613","0","0","0","0"
"16","6,725","25","0,269","12,5","0,538","0","0","2","0"
"24","0","16,667","0","8,333","0","0","0","12","0"
"32","0","12,5","0","6,25","0","0","0","12","0"
"40","0","10","0","5","0","0","0","12","0"
"48","0","8,333","0","4,167","0","0","0","12","0"
"56","0","7,143","0","3,571","0","0","0","12","0"
"64","0","6,25","0","3,125","0","0","0","12","0"
