"avg_n","actual_pairs_fps","expected_400_div_N","ratio_to_400N","seq_gaps","seq_dupes","in_errors"
"8","48,754","50","0,975","45","46","0"
"16","24,402","25","0,976","23","24","0"
"24","16,056","16,667","0,963","14","14","0"
"32","12,178","12,5","0,974","15","16","0"
"40","9,617","10","0,962","12","13","0"
"48","8","8,333","0,96","12","12","0"
"56","6,823","7,143","0,955","11","11","0"
"64","5,946","6,25","0,951","9","9","0"
