"avg_n","actual_pairs_fps","expected_400_div_N","ratio_to_400N","expected_200_div_N","ratio_to_200N","seq_gaps","seq_dupes","in_errors","timeouts"
"8","15,041","50","0,301","25","0,602","0","0","0","0"
"16","7,267","25","0,291","12,5","0,581","0","0","0","0"
"24","4,262","16,667","0,256","8,333","0,511","0","0","3","0"
"32","0","12,5","0","6,25","0","0","0","12","0"
"40","0","10","0","5","0","0","0","12","0"
"48","0","8,333","0","4,167","0","0","0","12","0"
"56","0","7,143","0","3,571","0","0","0","12","0"
"64","0","6,25","0","3,125","0","0","0","12","0"
