"avg_n","actual_pairs_fps","expected_400_div_N","ratio_to_400N","seq_gaps","seq_dupes","in_errors"
"8","48,651","50","0,973","50","52","0"
"16","24,276","25","0,971","23","24","0"
"24","16,152","16,667","0,969","19","19","0"
"32","11,964","12,5","0,957","18","18","0"
"40","9,533","10","0,953","11","11","0"
"48","7,952","8,333","0,954","14","14","0"
"56","6,733","7,143","0,943","10","10","0"
"64","5,929","6,25","0,949","11","11","0"
