"avg_n","actual_pairs_fps","expected_400_div_N","ratio_to_400N","seq_gaps","seq_dupes","in_errors"
"8","48,551","50","0,971","41","42","0"
"16","24,176","25","0,967","23","23","0"
"24","16","16,667","0,96","17","17","0"
"32","11,964","12,5","0,957","15","15","0"
"40","9,533","10","0,953","11","11","0"
"48","7,929","8,333","0,952","14","14","0"
"56","6,832","7,143","0,956","11","12","0"
"64","5,877","6,25","0,94","10","10","0"
