avg_n,expected_pairs_fps,actual_pairs_fps,ratio,seq_gaps,seq_dupes,in_errors,timeouts,log_file
8,25,4.2,0.168,0,1,0,0,HostTools\summaries\avg_n_sweep_2026-02-14_after_syncrollback\avg_n_8.log
16,12.5,4.2,0.336,0,1,1,0,HostTools\summaries\avg_n_sweep_2026-02-14_after_syncrollback\avg_n_16.log
24,8.333,4.1,0.492,0,1,1,0,HostTools\summaries\avg_n_sweep_2026-02-14_after_syncrollback\avg_n_24.log
32,6.25,4.1,0.656,23,23,1,0,HostTools\summaries\avg_n_sweep_2026-02-14_after_syncrollback\avg_n_32.log
40,5,4.1,0.82,22,23,2,0,HostTools\summaries\avg_n_sweep_2026-02-14_after_syncrollback\avg_n_40.log
48,4.167,4.2,1.008,23,23,1,0,HostTools\summaries\avg_n_sweep_2026-02-14_after_syncrollback\avg_n_48.log
56,3.571,4.1,1.148,23,24,1,0,HostTools\summaries\avg_n_sweep_2026-02-14_after_syncrollback\avg_n_56.log
64,3.125,4.1,1.312,23,23,1,0,HostTools\summaries\avg_n_sweep_2026-02-14_after_syncrollback\avg_n_64.log
