"avg_n","actual_pairs_fps","expected_400_div_N","ratio_to_400N","seq_gaps","seq_dupes","in_errors"
"8","48,152","50","0,963","38","38","0"
"16","23,98","25","0,959","23","25","0"
"24","16,004","16,667","0,96","18","19","0"
"32","11,834","12,5","0,947","13","13","0"
"40","9,43","10","0,943","11","11","0"
"48","7,859","8,333","0,943","10","10","0"
"56","6,706","7,143","0,939","11","11","0"
"64","5,831","6,25","0,933","9","9","0"
